state,lumpiness,entropy,ACF1,lshift,vchange,cpoints,fspots,trend,linearity,curvature,spikiness,KLscore,change.idx
Alabama,0.0289109720511941,0.347810815592769,0.972379321812742,1.46084541589041,0.431855223067017,4,67,0.943124227825885,-12.1392178329054,5.96495031770786,1.44322386927691e-06,1.70107461859247,108
Alaska,0.0011653663312307,0.483755205176757,0.977576120229528,0.719083992714544,0.116265302756334,1,58,0.947026733983454,-15.1669020553675,-0.785457923085535,7.27387965258127e-07,0.66621023386711,48
Arizona,0.0142938461478315,0.351826561398247,0.97418950042822,1.33889315101702,0.375335420960124,5,59,0.949133133828071,-12.4274124982211,5.87903200972932,9.17081989395633e-07,1.36101901361092,109
Arkansas,0.0098464492559727,0.389530711534619,0.983430847846981,1.33263438249847,0.34227896449161,5,41,0.944871583741529,-13.1421249947475,1.79746741420054,3.03181761176384e-07,0.924369930750908,109
California,0.0161802098788524,0.532248632190089,0.96564632780421,1.53413045707564,0.418590167101823,5,79,0.909407446161006,-11.0736430567914,4.45690577362416,2.86582497268891e-06,1.34191776983849,109
Colorado,0.0359657676509013,0.477453115650832,0.970102059057954,1.64251088464963,0.632162001212736,5,43,0.914760807931831,-10.5596731244777,3.59263931852912,4.27009284110411e-06,1.45482938432935,116
Connecticut,0.0108206477834534,0.590985960820498,0.958932065906757,1.56316188304427,0.366552097619605,5,25,0.861219990203103,-9.35365598949394,3.93146574896693,2.25612688060747e-06,2.38488596727381,123
Delaware,0.026947503688229,0.412920503781748,0.982797185956152,1.5587462886725,0.464190800058425,3,41,0.940629346313081,-12.4488331448042,5.34573806261034,9.17150282325762e-07,1.60680703717509,110
Florida,0.0490026425092405,0.534329404791851,0.961227648155287,1.70841535476602,0.717147499075988,5,52,0.893280186262268,-10.8845992437819,2.00710513833718,4.49353380957542e-06,2.12481192209022,109
Georgia,0.0305743593567937,0.390745762924851,0.977656761356105,1.68596837191548,0.559784646514683,3,84,0.946593476091237,-12.1582308733347,5.300338887853,5.26189935501046e-07,4.08510147606965,104
Hawaii,0.0068152016761045,0.612753047792761,0.934204726154245,1.26864364591811,0.270767793990286,1,65,0.84653789661101,-11.2363494931661,0.374128993690932,9.03614175603334e-06,3.54818189641585,123
Idaho,0.0173719632522641,0.383222747032511,0.979158231054435,1.73870747011324,0.451904136762789,3,37,0.956039675554674,-11.5970326515915,5.19327719700263,1.29507253812029e-06,1.38595419284201,108
Illinois,0.0441192948026208,0.637392626001441,0.930329020267804,1.62645282499181,0.570334538418453,1,64,0.840414453012127,-10.0216603367328,3.20556973454976,1.11470558020159e-05,2.13422590828771,109
Indiana,0.0378581198871097,0.464958984350087,0.957747322316508,1.52633156932411,0.555243737917238,4,67,0.891578254289728,-8.93051157970707,7.63181664101393,8.01149280144777e-06,2.27882451337183,108
Iowa,0.0298863833165444,0.628119687490293,0.947241835229293,1.56241974725825,0.5819545802138,1,36,0.786325671781785,-10.4704447666193,0.625052621846041,5.15474229648147e-06,1.32766930309363,111
Kansas,0.0111446203467891,0.505551313749637,0.928726514279915,1.39333601122262,0.41357485983981,4,114,0.846013478772223,-12.4289795260971,-1.78502209911239,1.65856792358976e-05,1.34726270436258,117
Kentucky,0.0161925621856707,0.49195672353071,0.951626143785606,1.411343871987,0.404349447194946,5,42,0.922432352560121,-12.6710981629094,4.47930075796147,3.03888758837454e-06,1.33219187262264,107
Louisiana,0.029527324506948,0.615737258903077,0.931650155380607,1.36447916062981,0.370376506991349,1,49,0.778729213301538,-10.1242214023439,-2.31587550354601,1.31115279314907e-05,2.33332672826353,109
Maine,0.0195059032542957,0.583565820816133,0.949174051462865,1.31950549002609,0.40315755758426,3,71,0.933956088035413,-12.4790066107484,3.85407862541898,2.26858834453018e-06,1.71961412021876,107
Maryland,0.0241792514235514,0.571766901453162,0.940224092824205,1.59398986733909,0.519877568557378,5,39,0.839408284450082,-9.78453458085513,5.04053752974543,5.15551520562328e-06,1.39248222797813,109
Massachusetts,0.0147090829253781,0.644566979121353,0.894491131730413,1.16419967016936,0.25957227143333,2,70,0.715750246872058,-7.1609420732526,6.54609774904175,4.98793994953115e-05,1.23648439838826,48
Michigan,0.0120688462803832,0.499771259543189,0.941477976876733,1.15286137930813,0.262558373857202,4,61,0.891173182075208,-9.73747276390175,8.76537446398834,1.24302917809608e-05,2.58902339854512,48
Minnesota,0.0037761292477765,0.457332761727526,0.969685994379566,0.885912020768337,0.112426932891413,5,46,0.945940552258132,-12.8406789295804,6.56914663195901,1.64430223138395e-06,1.74946854712249,48
Mississippi,0.0168455734027501,0.437003050125029,0.968970597733193,1.20089592743495,0.384378437243023,6,51,0.887287517349058,-13.724412667363,3.82026125915493,2.36037405273443e-06,0.435214699780513,68
Missouri,0.0081911531158953,0.460649558432899,0.965170023806544,1.2248041484548,0.267950751365776,3,63,0.929834391657311,-12.1562778587167,6.95630360258385,3.98649433442016e-06,2.2954470062623,48
Montana,0.0608300888294513,0.452417654208593,0.971994750244202,1.87959587794584,0.792417437963982,5,33,0.942468155620564,-12.7199102637129,1.70441066785533,1.42615476571087e-06,2.6407831143675,109
Nebraska,0.0101357592069043,0.429335636914391,0.980495999364824,1.44991964502867,0.352452739397686,3,32,0.942864690472689,-14.4994267702048,-0.492053400710307,1.92789191536919e-07,0.64087873364573,108
Nevada,0.01005191958828,0.516690655233753,0.95113040093147,1.39656640912775,0.35744207051632,2,48,0.874183604061522,-11.7168520257439,3.4819254807659,1.06670388999585e-05,0.861906306704896,123
New Hampshire,0.0243334718605666,0.644477986479653,0.89543639489512,1.15727178642612,0.31436777060134,2,88,0.748087789131612,-11.1915026241821,3.05660479208885,5.26594801119969e-05,1.27594179071456,108
New Jersey,0.0136449572255369,0.608648015109174,0.929335195570637,1.50195211136726,0.391307806465066,1,56,0.793385775522719,-11.2196622867321,1.32294417937557,1.48152258659141e-05,2.28521727789454,123
New Mexico,0.008418272128843,0.380534237758161,0.982062739559187,1.47145867939165,0.335651091704498,3,106,0.951916782239903,-13.5515843236635,1.33816664579671,6.10555860056766e-07,3.03178550925168,123
New York,0.0152389783032091,0.672715748710929,0.906172295071826,1.37951016193942,0.437144927655139,2,55,0.737021258268784,-9.64409337606238,0.0632951915765332,3.55949799510373e-05,2.09472335166494,110
North Carolina,0.0171043494208128,0.472808865477478,0.971686451611162,1.50556034335227,0.413032979587938,3,62,0.918413998565988,-12.560708854435,4.40416796543269,3.99954796643811e-06,2.19045252245905,109
North Dakota,0.0116891623873704,0.394338281449002,0.964564092095686,0.894822681899178,0.233018740136231,5,30,0.894316368205368,-4.94999370037463,-12.4729851813232,1.11493492549774e-06,5.24039561614185,48
Ohio,0.0466337996845939,0.4949147198064,0.94923035354005,1.84107228616426,0.688629085861619,2,58,0.876085187793844,-12.0493628225746,3.54937209123681,1.04870672350186e-05,2.28190991083239,109
Oklahoma,0.0078785429343094,0.500326645514388,0.950971683150967,1.35081439570438,0.426452092623017,2,37,0.873397868995463,-13.3537951298206,2.34001017281559,9.8888824735297e-06,0.974342898633789,114
Oregon,0.0255672803757425,0.487928695010099,0.959639654425488,1.41379232960716,0.507577322682753,5,73,0.904079117138662,-12.2731954685991,5.31562931038772,2.77217301339799e-06,1.97162678741731,108
Pennsylvania,0.0483772327358449,0.621108710594973,0.917130606612236,1.68918542397144,0.590883644429227,2,61,0.773814361713317,-9.92740703210876,2.09422708035832,1.85487515818201e-05,1.9388160923608,114
Rhode Island,0.015285298615418,0.603517854463372,0.940209968337398,1.36297561916874,0.470737940466792,1,57,0.797568138197199,-9.23982180347432,2.03355375578629,1.04788259876801e-05,1.30132219867967,107
South Carolina,0.0306018702793925,0.452624579289935,0.974067924995599,1.47649735067923,0.436118140878005,1,37,0.941663282107664,-12.101286078123,5.10014040835827,8.60228897448446e-07,1.99901423612276,110
South Dakota,0.004289158222406,0.471948060312135,0.968142304465892,0.994788401275009,0.227087553675114,5,59,0.922377808757215,-14.848716388077,-0.784408731690112,1.40790419488151e-06,0.514503436249606,108
Tennessee,0.0290560891187498,0.449729610961591,0.950954818082681,1.49809892559792,0.388241931826787,6,37,0.849775994208234,-10.7624991879408,6.96458419361745,8.31722845568901e-06,1.84260904941934,108
Texas,0.0050573080503329,0.618197940488051,0.932939624078687,1.03934303387604,0.224433367875247,1,110,0.85060073379384,-12.6911198065506,2.95546488980956,1.7940610585446e-05,1.04772514805365,48
Utah,0.124409775505536,0.447762010222384,0.979223119316908,1.81031259481416,0.832551003829346,3,41,0.950570594561209,-8.03329859675862,4.09997874612742,1.05807740967206e-06,2.71388881220014,110
Vermont,0.0004481241986359,0.600837921737351,0.94935060197571,0.582826844622639,0.0471882993592194,1,84,0.912336610987364,-13.3725348492206,-2.88300220513019,1.44933596411244e-06,0.122365013020525,88
Virginia,0.027527233557479,0.517990014384506,0.956293916463209,1.5429334149715,0.468323570661715,5,54,0.889915694827615,-11.7749532885469,0.724757318860722,2.71825636033379e-06,0.931836616160425,110
Washington,0.0456353749702422,0.506323150891887,0.963944566175352,1.80207469083188,0.610408872362747,5,31,0.905720365181744,-10.8028821911207,3.19114566611,2.52856154681003e-06,1.81250205771103,116
West Virginia,0.0385959399218639,0.542528768003679,0.907923840499462,1.61264916499931,0.565901756382748,2,72,0.796101698595667,-8.81516299261698,4.05539553943783,3.56851994750828e-05,1.36507397808832,115
Wisconsin,0.0214845830847551,0.521622024314787,0.959424589885861,1.33867444576832,0.335909577622664,5,66,0.921501129976072,-12.6198492947096,4.939474554011,4.15785888778786e-06,1.91613638202865,48
Wyoming,0.0103257822640256,0.330476886597808,0.990046329721816,1.20992135577063,0.338545779235326,1,51,0.981527034583585,-14.030413002733,-2.91146611294965,1.68880553285705e-08,2.26393569872573,123
