step,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,Virgin Islands
47,7226.9,1127.1,9019.2,4413.9,56274.5,8324.8,6334.0,1596.6,2380.2,28332.1,14927.0,2149.9,2213.0,22358.4,11255.9,5554.6,5007.6,6832.7,7321.7,2347.3,9583.7,12379.9,16954.9,10219.2,4247.7,10325.4,1533.5,3513.8,4397.1,2397.8,15302.5,2949.4,32069.9,14548.1,1265.2,20757.9,5580.8,6072.5,21716.9,1877.3,6925.2,1447.0,10297.4,36199.6,4174.4,1159.6,13516.7,10394.0,2659.8,10693.7,956.5,3871.6,133.8
48,7250.2,1133.1,9052.3,4414.9,56419.3,8339.4,6339.3,1601.4,2377.2,28581.1,14937.1,2157.4,2217.0,22355.4,11267.6,5560.5,5010.8,6827.3,7324.5,2353.1,9587.5,12377.8,16926.7,10211.6,4256.0,10347.3,1535.0,3521.7,4420.5,2392.2,15288.2,2954.2,32065.1,14548.5,1264.4,20769.3,5596.6,6041.0,21675.4,1876.1,6931.5,1450.1,10328.6,36323.1,4187.9,1158.2,13556.7,10371.6,2664.7,10704.6,958.6,3895.8,134.3
49,7264.7,1127.3,9069.3,4418.3,56502.2,8340.0,6339.3,1612.9,2392.6,28659.0,14959.8,2161.8,2223.4,22332.5,11257.6,5561.3,4994.0,6835.3,7329.4,2355.0,9592.7,12407.3,16899.4,10224.1,4253.3,10310.1,1540.0,3506.7,4427.1,2397.0,15296.7,2960.2,32126.1,14564.1,1265.2,20778.4,5597.6,6069.0,21690.4,1878.0,6933.9,1451.8,10396.1,36352.1,4201.1,1157.7,13601.6,10393.6,2667.6,10718.8,959.1,3899.3,135.1
50,7270.2,1133.0,9101.1,4420.6,56596.3,8364.4,6350.8,1610.9,2396.9,28743.5,14997.3,2162.7,2234.2,22361.8,11292.0,5567.2,5014.1,6840.3,7345.2,2356.3,9625.2,12438.1,16917.9,10228.4,4256.0,10342.6,1546.6,3517.0,4449.2,2410.0,15325.5,2964.1,32209.9,14589.6,1268.3,20819.0,5608.4,6097.5,21737.6,1879.0,6965.4,1451.3,10370.7,36391.8,4213.7,1161.0,13643.3,10430.2,2679.7,10735.2,960.7,3901.9,134.4
51,7289.6,1133.4,9130.6,4421.9,56681.5,8395.3,6362.9,1601.3,2402.7,28909.4,15014.4,2172.5,2246.7,22370.4,11327.5,5584.5,5049.6,6842.0,7342.3,2350.1,9624.4,12434.7,16942.8,10304.2,4267.0,10358.1,1563.2,3530.6,4493.2,2412.6,15296.5,2970.3,32137.7,14631.1,1272.0,20809.9,5612.2,6128.5,21733.2,1878.7,6985.5,1461.0,10384.5,36475.9,4232.8,1163.8,13677.4,10452.3,2685.0,10744.1,966.5,3900.4,135.3
52,7297.9,1134.6,9172.6,4428.2,56798.4,8404.8,6370.5,1610.0,2409.2,29000.5,15035.8,2180.7,2253.3,22411.5,11343.5,5582.3,5059.9,6840.5,7322.9,2351.6,9646.1,12449.0,16950.0,10320.6,4266.2,10365.5,1561.9,3532.9,4513.1,2420.2,15346.2,2978.1,32259.9,14679.0,1277.3,20810.7,5618.1,6143.6,21771.2,1888.3,7006.0,1463.2,10394.8,36504.9,4241.9,1167.0,13710.9,10469.5,2721.9,10762.3,963.8,3909.9,135.4
53,7314.4,1138.7,9211.7,4437.3,56862.7,8416.9,6367.9,1616.9,2416.3,29142.3,15044.5,2185.8,2261.5,22437.4,11346.7,5592.6,5058.0,6853.6,7334.6,2353.2,9658.9,12452.3,16913.5,10322.7,4269.3,10393.4,1572.3,3539.0,4542.1,2418.9,15366.3,2980.6,32305.1,14701.0,1280.2,20838.6,5617.6,6166.0,21814.2,1884.1,7018.6,1463.4,10419.1,36545.5,4256.8,1168.4,13742.0,10501.0,2687.0,10770.5,967.5,3932.3,135.7
54,7335.4,1143.7,9256.2,4439.8,57054.8,8419.9,6374.9,1617.2,2402.1,29242.8,15097.5,2197.4,2263.5,22451.4,11368.3,5613.9,5077.7,6835.0,7336.9,2354.9,9672.2,12460.9,16814.5,10330.3,4272.1,10356.9,1571.5,3540.7,4574.9,2426.0,15371.3,2989.4,32342.4,14766.3,1285.7,20856.6,5641.2,6187.4,21825.4,1884.9,7031.6,1462.6,10431.0,36638.8,4263.8,1169.7,13785.9,10501.9,2692.4,10821.4,967.7,3956.9,137.5
55,7340.8,1145.6,9283.1,4452.9,57070.6,8444.6,6387.3,1620.4,2416.5,29256.3,15129.3,2200.0,2270.0,22470.2,11377.8,5609.9,5079.9,6874.6,7350.1,2357.3,9692.3,12463.5,16935.7,10332.6,4272.8,10407.4,1566.5,3550.8,4589.7,2426.1,15381.1,2988.4,32360.4,14802.5,1286.3,20859.9,5653.0,6204.9,21838.6,1886.8,7052.1,1467.2,10447.9,36713.3,4269.7,1170.9,13799.0,10524.8,2692.2,10838.4,969.0,3947.5,138.7
56,7333.7,1149.7,9297.4,4447.6,57077.0,8455.3,6388.4,1622.7,2416.2,29118.1,15094.2,2205.1,2270.5,22440.8,11387.3,5605.2,5097.4,6879.7,7317.2,2355.4,9696.9,12471.8,16948.7,10345.0,4279.0,10413.6,1572.4,3552.5,4619.4,2428.3,15398.8,2983.0,32374.8,14833.6,1286.0,20847.7,5655.9,6217.6,21863.1,1889.1,7066.5,1471.2,10433.6,36687.8,4280.5,1173.4,13810.7,10519.9,2693.8,10811.1,964.5,3948.8,137.4
57,7365.2,1155.1,9404.3,4459.5,57329.9,8476.3,6394.0,1629.3,2416.3,29435.9,15200.4,2219.2,2286.8,22488.3,11404.4,5618.8,5099.3,6899.8,7343.0,2355.2,9735.8,12473.4,16971.7,10374.8,4282.0,10454.1,1575.8,3553.0,4672.8,2434.0,15404.8,3011.8,32428.8,14828.9,1292.0,20898.1,5685.8,6237.9,21917.2,1893.7,7078.2,1472.4,10489.5,36882.2,4301.8,1171.9,13868.3,10588.4,2703.4,10845.3,969.9,3968.3,138.9
58,7378.6,1150.6,9433.1,4470.9,57424.5,8483.3,6402.3,1631.9,2420.5,29591.2,15218.5,2228.1,2294.7,22499.5,11412.2,5625.8,5097.8,6907.7,7369.3,2360.0,9738.7,12469.5,16956.3,10376.3,4281.9,10452.6,1579.2,3555.5,4679.2,2432.4,15430.8,3015.8,32431.8,14848.5,1292.9,20885.8,5687.6,6247.4,21926.3,1890.0,7091.1,1472.5,10495.5,36916.2,4323.2,1171.4,13888.2,10608.9,2700.2,10850.6,975.9,3959.7,138.5
59,7394.5,1155.2,9482.0,4475.4,57404.5,8502.3,6404.3,1629.3,2416.9,29712.9,15240.3,2226.2,2300.9,22568.0,11404.5,5636.0,5101.5,6919.0,7366.0,2353.2,9752.5,12475.3,16954.0,10397.7,4288.1,10459.9,1585.2,3560.4,4700.1,2431.9,15447.3,3021.0,32469.1,14890.4,1292.0,20890.6,5698.4,6262.4,21950.4,1890.2,7099.6,1470.9,10519.5,36966.3,4332.5,1170.1,13923.2,10629.9,2704.6,10851.5,977.7,3953.7,139.1
60,7406.3,1160.6,9494.2,4478.0,57470.8,8512.2,6405.5,1630.4,2429.3,29802.9,15293.1,2231.7,2313.7,22483.3,11393.9,5629.2,5061.2,6906.0,7373.3,2349.8,9748.3,12459.7,16893.8,10322.0,4293.5,10450.1,1575.0,3561.3,4698.8,2442.0,15444.0,3020.2,32446.1,14923.0,1292.3,20831.6,5695.5,6279.2,21929.5,1889.1,7117.2,1473.6,10476.1,37077.6,4344.2,1172.0,13929.4,10652.7,2710.3,10848.9,979.9,3944.2,141.0
61,7416.3,1156.2,9546.6,4493.7,57591.7,8535.2,6410.3,1633.8,2429.9,29892.5,15312.8,2235.1,2320.9,22511.8,11428.8,5654.2,5089.0,6934.0,7368.0,2353.2,9770.8,12490.6,16942.2,10356.2,4303.8,10481.8,1589.3,3571.1,4727.7,2437.9,15459.5,3023.9,32435.2,14958.3,1298.0,20863.4,5713.5,6292.7,21963.8,1891.0,7118.7,1477.8,10524.6,37117.7,4364.6,1171.7,13963.4,10659.8,2714.2,10874.8,983.9,3945.0,142.5
62,7426.7,1159.0,9584.5,4497.5,57684.4,8554.8,6403.2,1634.3,2428.9,29890.3,15276.1,2240.6,2326.7,22501.8,11414.4,5673.1,5096.7,6931.1,7384.6,2347.9,9745.3,12467.7,16925.4,10368.9,4307.6,10492.6,1593.5,3578.9,4759.7,2436.5,15437.1,3025.5,32418.6,14955.3,1299.1,20871.7,5730.4,6316.0,21927.5,1891.0,7100.1,1482.5,10531.5,37187.9,4376.4,1174.3,13952.9,10699.1,2707.2,10887.7,990.1,3939.1,138.5
63,7466.2,1161.5,9677.9,4500.1,57894.0,8551.8,6436.2,1642.7,2431.0,30086.8,15426.5,2251.5,2334.0,22598.3,11445.0,5681.7,5093.2,6948.6,7441.0,2354.7,9798.7,12505.0,16946.0,10448.9,4308.6,10551.7,1589.0,3582.1,4808.2,2447.2,15503.5,3044.9,32551.9,14974.1,1306.8,20928.6,5756.2,6322.5,22031.3,1901.1,7124.1,1487.6,10549.1,37357.6,4394.3,1177.1,14004.7,10732.6,2717.0,10923.0,992.7,3947.5,137.8
64,7476.3,1163.5,9718.9,4505.3,57918.1,8571.5,6423.0,1644.0,2436.7,30233.8,15474.4,2259.0,2335.4,22587.7,11432.5,5684.5,5097.7,6956.6,7446.3,2353.6,9810.0,12512.4,16942.7,10483.2,4306.5,10551.0,1593.5,3579.9,4817.5,2449.8,15512.7,3047.9,32520.3,14972.5,1306.9,20916.6,5766.3,6330.7,22035.1,1895.2,7141.0,1485.8,10562.2,37412.1,4404.9,1176.0,14021.7,10760.5,2724.7,10900.9,994.9,3941.1,137.6
65,7469.3,1161.4,9756.0,4510.3,57987.7,8580.4,6428.2,1635.5,2433.2,30276.6,15455.6,2262.5,2338.9,22534.4,11443.0,5688.0,5097.2,6965.2,7457.1,2348.3,9809.2,12506.0,16875.1,10470.6,4304.9,10547.6,1599.7,3585.0,4833.1,2448.5,15523.9,3046.9,32542.9,14966.4,1307.3,20877.7,5767.2,6344.9,22043.1,1898.9,7103.5,1486.8,10570.2,37442.0,4414.6,1173.3,14031.5,10761.7,2726.4,10890.8,994.9,3937.6,138.8
66,7503.0,1170.1,9824.8,4520.3,58253.5,8627.0,6427.8,1645.1,2430.6,30490.4,15504.5,2273.8,2360.6,22654.9,11457.8,5703.3,5083.5,6962.2,7483.3,2355.8,9845.4,12538.1,16829.0,10508.9,4317.4,10573.0,1612.7,3594.7,4869.8,2458.9,15541.8,3065.7,32608.4,15041.5,1309.2,20940.7,5793.1,6375.3,22101.5,1903.7,7181.3,1491.4,10604.6,37686.4,4449.3,1179.7,14100.7,10817.8,2735.5,10924.8,1003.5,3940.5,142.1
67,7516.9,1171.8,9862.7,4524.2,58377.8,8632.1,6426.5,1650.2,2435.1,30590.8,15563.7,2282.1,2368.4,22670.1,11454.1,5704.6,5087.9,6993.0,7486.6,2355.0,9863.7,12542.1,16874.7,10527.5,4319.0,10612.5,1610.1,3592.8,4885.2,2456.7,15544.3,3070.8,32653.7,15070.0,1311.3,20930.5,5807.0,6385.3,22099.0,1903.0,7208.2,1495.1,10603.6,37746.6,4470.9,1180.2,14126.4,10847.7,2737.5,10935.2,1008.2,3931.3,141.8
68,7531.9,1171.0,9919.2,4536.8,58535.3,8663.1,6429.7,1654.7,2436.7,30722.0,15585.3,2283.8,2382.3,22697.3,11490.2,5721.1,5105.1,6995.6,6974.1,2356.2,9894.0,12562.1,16924.6,10547.0,4239.5,10600.8,1617.5,3597.6,4918.1,2464.5,15555.2,3076.2,32687.1,15126.2,1314.6,20959.5,5817.3,6404.5,22125.0,1902.7,7197.1,1499.2,10635.9,37869.3,4488.3,1178.5,14177.8,10819.7,2739.1,10959.5,1011.6,3942.1,141.6
69,7552.1,1170.6,9923.0,4537.7,58591.8,8673.2,6422.5,1653.2,2436.7,30729.5,15593.1,2282.5,2383.6,22685.4,11500.1,5717.5,5106.1,6989.6,6794.6,2351.9,9873.6,12533.3,16875.5,10548.8,4270.5,10600.0,1624.1,3600.3,4924.1,2462.4,15527.7,3078.7,32590.8,15127.7,1310.3,20945.9,5834.5,6411.0,22102.6,1895.0,7208.1,1496.2,10634.9,37926.9,4496.1,1175.9,14151.1,10894.4,2731.2,10946.6,1015.6,3944.0,141.6
70,7574.9,1174.4,9976.6,4554.3,58760.1,8694.2,6429.5,1667.6,2449.4,30765.5,15644.3,2279.3,2398.0,22717.3,11509.9,5720.4,5121.4,7003.9,6872.8,2355.2,9892.7,12564.1,16876.5,10570.2,4307.3,10620.0,1629.2,3604.5,4953.0,2468.5,15556.8,3096.3,32665.4,15160.0,1314.4,20963.3,5863.6,6447.8,22130.3,1896.8,7231.5,1502.5,10653.1,38119.9,4520.8,1177.3,14181.0,10935.9,2740.6,10960.3,1019.2,3964.3,141.6
71,7584.9,1170.7,10023.3,4559.5,58860.4,8720.6,6438.2,1661.7,2456.5,30861.8,15663.5,2294.2,2410.7,22722.4,11510.3,5724.1,5129.4,7000.2,6917.1,2358.2,9897.7,12577.7,16843.2,10585.9,4291.1,10633.1,1627.8,3603.4,4978.2,2473.6,15559.0,3100.6,32728.1,15177.9,1318.2,20959.5,5876.3,6470.5,22128.4,1895.0,7201.4,1504.9,10654.8,38209.2,4536.6,1182.7,14201.6,10980.2,2747.9,10977.3,1023.0,3935.3,141.3
72,7587.6,1171.9,10117.4,4580.9,58858.5,8746.9,6491.0,1662.8,2447.0,30907.7,15710.4,2291.1,2423.9,22775.2,11521.1,5749.1,5139.4,7030.5,6967.3,2360.2,9924.3,12599.7,16794.3,10619.3,4296.3,10664.0,1635.6,3614.2,5009.8,2461.3,15597.9,3114.2,32739.3,15276.4,1321.0,20980.0,5895.8,6485.1,22161.6,1891.6,7283.3,1511.1,10706.4,38367.0,4562.8,1182.1,14256.6,11011.1,2766.2,10975.2,1033.2,3958.0,142.0
73,7603.7,1177.8,10173.0,4589.9,59000.0,8763.0,6475.3,1665.0,2450.3,30960.8,15723.8,2304.2,2433.9,22831.7,11540.1,5771.6,5162.3,7041.9,7015.2,2360.4,9941.3,12612.5,16773.1,10623.2,4311.5,10686.9,1645.8,3628.5,5038.3,2466.7,15617.2,3129.6,32747.6,15291.6,1328.3,20999.1,5909.6,6510.7,22210.7,1893.4,7308.5,1515.2,10703.2,38440.4,4586.2,1184.0,14277.8,11036.4,2767.6,10991.8,1038.1,3960.8,142.7
74,7626.0,1183.8,10222.8,4594.2,59033.1,8782.1,6472.2,1664.8,2456.0,31075.6,15749.6,2310.1,2446.3,22857.2,11558.2,5779.7,5163.6,7066.3,7073.4,2366.9,9969.2,12633.4,16773.9,10643.4,4329.6,10705.6,1649.1,3626.1,5064.2,2471.6,15652.7,3141.9,32816.4,15326.2,1334.1,21026.3,5926.4,6524.2,22244.0,1899.7,7309.7,1518.1,10731.6,38591.1,4609.5,1185.1,14307.0,11057.8,2774.4,10998.0,1043.9,3964.8,144.2
75,7625.7,1187.9,10248.2,4608.7,59067.1,8791.4,6505.8,1664.2,2451.6,31117.5,15804.1,2314.6,2458.4,22863.8,11540.2,5784.9,5163.1,7047.2,7081.7,2376.4,9963.8,12652.1,16765.6,10624.2,4334.1,10719.4,1657.3,3620.7,5070.4,2482.8,15636.0,3144.7,32853.4,15456.6,1337.8,21007.6,5907.2,6544.1,22267.1,1912.2,7341.7,1518.9,10744.6,38639.7,4627.0,1184.1,14294.2,11074.9,2766.3,11025.4,1049.3,3947.3,145.6
76,7624.0,1186.8,10278.1,4602.6,59243.5,8811.4,6506.1,1666.5,2448.3,31179.5,15805.5,2320.0,2463.6,22856.1,11511.3,5785.7,5166.8,7045.7,7112.5,2366.6,9958.0,12634.2,16699.9,10601.0,4343.3,10703.1,1660.4,3622.0,5080.4,2472.9,15633.4,3152.1,32866.3,15472.9,1336.1,20965.5,5929.3,6561.6,22259.1,1904.1,7331.7,1520.5,10747.7,38753.8,4645.3,1182.8,14313.4,11102.6,2794.5,10997.8,1054.3,3936.9,145.4
77,7639.5,1198.4,10315.7,4611.8,59366.6,8834.5,6515.0,1665.1,2459.1,31241.1,15826.4,2326.9,2472.5,22924.5,11553.4,5797.7,5184.5,7044.4,7142.1,2367.2,9967.0,12659.7,16696.8,10631.9,4357.0,10714.4,1673.5,3634.5,5095.4,2478.7,15629.7,3173.8,32904.2,15503.5,1337.6,20961.7,5944.1,6573.5,22267.8,1906.1,7264.9,1522.8,10769.9,38875.0,4672.9,1185.6,14337.4,11148.9,2770.6,11027.7,1058.6,3922.3,146.0
78,7633.8,1184.0,10315.6,4598.0,59357.4,8821.9,6522.3,1659.3,2454.2,31253.0,15808.5,2326.7,2479.4,22912.4,11508.9,5782.1,5149.8,7018.4,7124.1,2362.5,9955.9,12671.4,16517.0,10619.1,4338.2,10706.4,1679.7,3632.4,5087.4,2482.6,15632.8,3169.1,32898.2,15590.6,1334.3,20929.6,5943.7,6580.0,22268.5,1901.3,7297.8,1525.7,10762.3,38894.7,4684.6,1184.6,14334.4,11136.4,2756.9,11015.0,1056.9,3925.6,145.4
79,7649.3,1186.2,10340.1,4600.8,59469.8,8838.9,6536.2,1662.1,2453.7,31321.8,15834.9,2338.5,2486.2,22944.0,11524.1,5784.4,5176.3,7050.9,7174.2,2370.2,9964.9,12677.4,16582.5,10613.7,4364.6,10717.8,1665.6,3633.8,5100.1,2481.3,15650.4,3171.9,32917.0,15610.7,1340.0,20930.9,5964.8,6587.0,22288.6,1904.7,7311.3,1531.0,10771.1,39069.8,4704.3,1185.9,14344.0,11181.6,2763.4,11018.7,1063.0,3909.0,145.5
80,7656.3,1188.2,10362.2,4602.2,59509.2,8847.1,6502.1,1662.4,2458.9,31325.3,15843.0,2343.8,2490.0,22948.5,11521.4,5797.4,5206.6,7051.7,7217.1,2364.6,9970.5,12687.9,16591.0,10617.5,4371.5,10726.9,1662.7,3644.5,5097.1,2482.1,15632.5,3181.0,32958.6,15624.8,1343.8,20918.5,5970.2,6599.6,22310.2,1912.6,7338.3,1530.9,10770.4,39207.9,4715.0,1187.8,14332.7,11207.3,2768.2,11030.8,1066.4,3897.3,147.2
81,7641.4,1181.5,10367.8,4601.1,59467.5,8862.2,6504.7,1665.8,2463.5,31301.5,15915.3,2329.7,2488.7,22920.7,11534.7,5800.9,5203.7,7045.7,7221.6,2365.3,9979.6,12698.8,16519.2,10588.7,4373.3,10733.0,1666.3,3641.3,5081.7,2484.3,15632.4,3172.2,33000.3,15688.3,1341.9,20896.3,5963.8,6610.0,22325.4,1911.8,7402.1,1531.3,10738.7,39259.4,4717.7,1187.9,14339.4,11211.8,2767.3,11023.9,1067.6,3897.5,147.0
82,7648.6,1189.8,10364.5,4596.1,59465.2,8880.1,6505.4,1666.5,2464.7,31309.3,15928.0,2341.1,2496.5,22933.9,11533.5,5802.5,5199.7,7050.9,7235.6,2368.3,9988.7,12708.3,16519.3,10605.5,4379.9,10754.4,1670.4,3650.5,5087.3,2481.1,15642.2,3182.4,33070.7,15753.3,1345.6,20879.8,5965.5,6624.9,22330.2,1912.1,7401.8,1534.9,10744.8,39372.1,4753.4,1191.0,14356.9,11229.2,2772.9,11026.6,1071.9,3904.4,147.1
83,7666.6,1190.9,10386.4,4602.6,59498.0,8916.2,6522.9,1672.9,2467.6,31345.7,15949.9,2344.7,2501.3,22972.5,11563.4,5823.1,5235.4,7092.7,7268.2,2373.5,10010.1,12736.3,16518.3,10630.3,4384.7,10785.5,1678.4,3657.6,5102.7,2488.5,15666.2,3189.3,33160.7,15785.4,1352.3,20906.0,5988.5,6641.4,22375.6,1916.4,7441.8,1541.5,10763.7,39518.5,4771.9,1186.4,14378.8,11260.5,2776.1,11037.5,1083.3,3837.1,147.5
84,7706.2,1193.9,10383.5,4605.0,59557.0,8911.1,6527.6,1666.9,2468.6,31388.0,16017.5,2345.8,2509.6,23034.5,11564.0,5822.4,5233.4,7110.7,7310.7,2375.9,10035.2,12766.9,16460.8,10653.9,4384.5,10759.0,1688.6,3669.7,5104.7,2487.9,15648.3,3185.5,33236.0,15812.5,1352.6,20957.8,5986.9,6647.5,22395.9,1916.9,7470.2,1543.2,10770.1,39588.3,4798.6,1186.2,14428.1,11289.8,2774.8,11057.2,1086.4,3890.0,146.0
85,7727.8,1197.6,10410.4,4609.1,59656.3,8932.9,6523.9,1660.4,2482.0,31385.5,16022.6,2348.4,2519.4,22987.3,11522.1,5820.1,5231.1,7102.7,7334.0,2376.2,10004.5,12762.4,16494.0,10658.9,4384.7,10756.0,1692.0,3674.0,5134.9,2493.4,15603.6,3195.7,33230.0,15853.2,1352.1,20877.3,6005.0,6665.2,22347.3,1912.5,7467.8,1545.3,10769.3,39732.7,4818.1,1185.4,14423.3,11351.2,2753.7,11051.1,1090.6,3878.8,145.7
86,7743.1,1196.9,10437.3,4629.3,59798.2,8980.0,6523.4,1665.7,2482.8,31418.1,16041.8,2351.4,2529.7,23072.9,11585.5,5819.3,5271.5,7124.2,7366.7,2379.9,10041.5,12764.0,16488.1,10667.9,4373.8,10824.1,1702.8,3674.6,5140.4,2493.0,15631.6,3211.7,33274.6,15903.8,1357.8,20940.9,6043.1,6683.3,22412.3,1910.3,7485.6,1551.5,10800.0,39904.9,4843.1,1187.8,14452.3,11369.1,2771.6,11070.4,1097.4,3880.0,145.2
87,7715.9,1195.5,10403.3,4620.6,59616.0,8998.5,6529.8,1663.7,2477.4,31349.4,16021.8,2339.2,2533.8,23064.3,11579.7,5823.6,5261.5,7125.0,7328.6,2368.2,10024.5,12772.6,16465.9,10661.5,4380.9,10792.9,1703.0,3683.3,5127.6,2483.1,15642.8,3199.4,33238.2,15890.2,1355.7,20931.3,6020.5,6665.6,22403.0,1906.2,7477.8,1554.0,10772.4,40010.6,4852.1,1185.0,14444.5,11395.7,2766.1,11066.0,1095.4,3885.3,145.6
88,7721.5,1196.1,10408.6,4619.5,59686.0,9013.1,6543.9,1668.4,2469.8,31304.9,16022.6,2356.7,2539.5,23098.1,11579.7,5835.1,5265.7,7144.7,7339.4,2369.2,10038.8,12798.8,16458.5,10663.2,4381.7,10803.0,1703.2,3691.4,5132.5,2494.2,15676.3,3202.4,33317.5,15920.0,1360.1,20945.2,6031.4,6673.9,22436.6,1910.7,7476.6,1558.1,10776.8,40116.7,4869.7,1187.8,14448.5,11423.3,2766.1,11087.9,1100.2,3889.8,150.0
89,7727.0,1197.6,10441.9,4621.9,59751.1,9032.1,6563.5,1672.3,2469.3,31273.0,16037.7,2364.5,2547.6,23109.8,11607.1,5852.9,5292.4,7146.9,7367.8,2376.5,10039.2,12825.9,16437.4,10675.7,4384.5,10795.4,1703.0,3699.9,5119.1,2498.2,15674.0,3208.7,33378.6,15968.7,1361.5,20962.8,6050.8,6675.5,22490.8,1909.4,7513.4,1558.0,10802.9,40260.1,4885.1,1192.2,14463.0,11454.8,2774.3,11120.8,1102.9,3882.3,150.3
90,7720.3,1191.7,10436.0,4607.1,59910.2,9040.8,6566.6,1665.9,2473.9,31145.6,16025.0,2355.7,2540.5,23097.4,11578.8,5841.8,5303.2,7118.3,7363.4,2380.4,10046.2,12820.1,16364.5,10680.6,4379.5,10785.7,1707.7,3705.9,5100.4,2499.2,15672.8,3209.2,33387.2,15943.4,1363.6,20912.4,6056.2,6674.3,22489.0,1906.1,7487.9,1561.9,10813.3,40331.8,4888.7,1189.9,14461.4,11458.5,2769.9,11092.0,1105.0,3914.1,146.0
91,7733.3,1195.1,10440.5,4618.2,59816.3,9040.0,6569.2,1666.3,2473.6,31084.8,16041.1,2352.2,2541.8,23075.9,11570.8,5842.0,5299.5,7108.3,7385.8,2378.2,10046.0,12820.5,16388.6,10669.1,4395.7,10803.3,1707.2,3711.6,5092.7,2493.6,15669.8,3213.3,33376.9,15957.4,1363.1,20897.4,6074.9,6684.7,22471.3,1901.2,7484.9,1561.9,10817.8,40397.9,4896.1,1186.1,14452.0,11476.3,2776.8,11088.0,1106.8,3876.9,145.7
92,7746.3,1197.5,10436.6,4614.4,59802.4,9061.9,6564.1,1664.0,2478.3,31011.8,16036.8,2360.3,2536.0,23067.3,11576.6,5845.9,5301.8,7133.8,7406.7,2379.7,10036.4,12818.7,16370.8,10658.4,4400.5,10812.0,1702.8,3714.1,5080.3,2494.5,15631.8,3213.1,33378.1,15966.8,1365.4,20881.1,6079.6,6680.1,22454.9,1892.0,7499.4,1560.0,10816.9,40495.7,4892.9,1185.5,14458.9,11484.6,2777.5,11085.3,1108.9,3872.4,146.9
93,7753.0,1198.0,10442.3,4616.3,59722.7,9074.6,6573.3,1662.5,2494.9,30916.7,16033.7,2360.6,2533.8,23062.4,11577.8,5854.8,5302.7,7122.4,7432.1,2380.2,10033.3,12834.1,16319.5,10647.9,4403.4,10798.8,1709.5,3718.7,5086.0,2493.2,15681.9,3219.8,33486.6,15979.8,1370.7,20888.2,6095.9,6694.4,22484.5,1891.2,7489.6,1561.9,10813.1,40605.9,4905.6,1183.7,14457.4,11500.4,2779.3,11063.3,1114.1,3849.2,146.1
94,7753.5,1200.4,10424.8,4620.7,59739.7,9085.7,6577.2,1669.6,2493.7,30879.9,16035.5,2351.7,2540.7,23082.6,11586.5,5872.4,5315.8,7136.5,7436.4,2390.6,10038.8,12854.2,16336.6,10660.1,4406.8,10815.5,1711.7,3720.4,5092.5,2499.0,15674.8,3225.5,33530.2,16008.5,1376.9,20894.1,6108.8,6697.1,22494.1,1887.2,7487.7,1563.6,10824.4,40693.6,4916.9,1185.9,14473.1,11543.4,2780.2,11066.6,1121.9,3838.5,145.4
95,7767.9,1200.7,10402.0,4624.7,59749.2,9093.7,6581.2,1675.4,2500.8,30831.4,16038.7,2363.6,2538.2,23086.3,11575.4,5865.4,5305.8,7130.3,7451.6,2390.8,10048.6,12852.5,16327.0,10662.0,4414.8,10814.9,1713.5,3723.5,5104.0,2501.3,15677.6,3231.1,33561.6,16034.0,1378.2,20880.0,6095.2,6700.7,22495.3,1884.7,7493.7,1564.0,10830.2,40783.2,4918.5,1187.2,14475.2,11554.1,2785.8,11079.4,1126.8,3799.8,145.1
